Model,BER,Seed,Accuracy
Max-Magnitude ACC,0.02,MeanOnly,89.0
Max-Magnitude ACC,0.03,MeanOnly,80.0
Max-Magnitude ACC,0.04,MeanOnly,66.0
Max-Magnitude ACC,0.05,MeanOnly,50.0
Max-Magnitude ACC,0.06,MeanOnly,36.0
Max-Magnitude ACC,0.07,MeanOnly,24.0
Max-Magnitude ACC,0.08,MeanOnly,16.0
Max-Magnitude ACC,0.09,MeanOnly,12.0
Max-Magnitude ACC,0.1,MeanOnly,10.0
Max-Squared ACC,0.0,MeanOnly,93.0
Max-Squared ACC,1e-06,MeanOnly,93.0
Max-Squared ACC,1e-05,MeanOnly,93.0
Max-Squared ACC,0.0001,MeanOnly,93.0
Max-Squared ACC,0.001,MeanOnly,92.0
Max-Squared ACC,0.01,MeanOnly,92.0
Max-Squared ACC,0.02,MeanOnly,90.0
Max-Squared ACC,0.03,MeanOnly,82.0
Max-Squared ACC,0.04,MeanOnly,70.0
Max-Squared ACC,0.05,MeanOnly,55.0
Max-Squared ACC,0.06,MeanOnly,40.0
Max-Squared ACC,0.07,MeanOnly,28.0
Max-Squared ACC,0.08,MeanOnly,18.0
Max-Squared ACC,0.09,MeanOnly,13.0
Max-Squared ACC,0.1,MeanOnly,10.0
SAM,0.0,MeanOnly,93.32
SAM,1e-06,MeanOnly,93.25
SAM,1e-05,MeanOnly,93.15
SAM,0.0001,MeanOnly,93.03
SAM,0.001,MeanOnly,93.27
SAM,0.01,MeanOnly,90.43
SAM,0.02,MeanOnly,84.63
SAM,0.03,MeanOnly,71.52
SAM,0.04,MeanOnly,50.95
SAM,0.05,MeanOnly,33.57
SAM,0.06,MeanOnly,22.83
SAM,0.07,MeanOnly,15.07
SAM,0.08,MeanOnly,12.65
SAM,0.09,MeanOnly,13.01
SAM,0.1,MeanOnly,12.19
