exp_name,lambda_scale,ber,baseline_acc,fault_acc,ckpt_path
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7,3e-07,0.01,88.13±0,85.6±1.17,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7,3e-07,0.02,88.13±0,82.43±0.474,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7,3e-07,0.05,88.13±0,66.19±2.37,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7,3e-07,0.1,88.13±0,40.3±6.37,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6,1e-06,1e-05,88.75±0,88.73±0.0682,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6,1e-06,0.0001,88.75±0,88.77±0.039,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6,1e-06,0.001,88.75±0,88.4±0.125,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6,1e-06,0.01,88.75±0,86.64±0.797,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6,1e-06,0.02,88.75±0,84.12±0.498,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6,1e-06,0.05,88.75±0,70.46±3.15,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6,1e-06,0.1,88.75±0,44.65±7.98,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6,3e-06,1e-05,88.66±0,88.64±0.0416,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6,3e-06,0.0001,88.66±0,88.56±0.0586,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6,3e-06,0.001,88.66±0,88.26±0.118,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6,3e-06,0.01,88.66±0,86.34±0.381,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6,3e-06,0.02,88.66±0,83.58±1.71,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6,3e-06,0.05,88.66±0,69.17±6.3,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6,3e-06,0.1,88.66±0,44.92±5.71,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5,1e-05,1e-05,88.3±0,88.34±0.0327,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5,1e-05,0.0001,88.3±0,88.33±0.0502,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5,1e-05,0.001,88.3±0,88.15±0.154,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5,1e-05,0.01,88.3±0,86.04±0.824,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5,1e-05,0.02,88.3±0,81.83±2.25,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5,1e-05,0.05,88.3±0,71.41±3.82,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5,1e-05,0.1,88.3±0,44.74±8,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5_checkpoint.pth.tar
