exp_name,lambda_scale,layer,is_dynamic_s,s_len,s_active_wbit,s_active,s_active_sq,ckpt_path
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8,1e-08,classifier.4,1,5,6,0.001079936628229916,1.1662631322906236e-06,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8,1e-08,classifier.6,0,1,,0.004801805131137371,2.3057333237375133e-05,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8,1e-08,features.0,0,1,,0.004854305647313595,2.356428376515396e-05,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8,1e-08,features.10,1,5,6,0.002138744806870818,4.574229478748748e-06,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8,1e-08,features.3,1,5,6,0.005436499137431383,2.9555523724411614e-05,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8,1e-08,features.6,1,5,6,0.0011281210463494062,1.2726570730592357e-06,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8,1e-08,features.8,1,5,6,0.0019239371176809072,3.7015340694779297e-06,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6,3e-06,classifier.1,1,5,6,0.0008661402389407158,7.501989216507354e-07,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6,3e-06,classifier.4,1,5,6,0.0011819051578640938,1.3968998473501415e-06,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6,3e-06,classifier.6,0,1,,0.005852028727531433,3.424624082981609e-05,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6_checkpoint.pth.tar
