[classifier.1] Epoch 62/100, Loss=0.286704, LR=3.16e-02
[classifier.1] Epoch 63/100, Loss=0.286710, LR=3.01e-02
[classifier.1] Epoch 64/100, Loss=0.286696, LR=2.87e-02
[classifier.1] Epoch 65/100, Loss=0.286702, LR=2.73e-02
[classifier.1] Epoch 66/100, Loss=0.286699, LR=2.59e-02
[classifier.1] Epoch 67/100, Loss=0.286691, LR=2.46e-02
[classifier.1] Epoch 68/100, Loss=0.286701, LR=2.32e-02
[classifier.1] Epoch 69/100, Loss=0.286693, LR=2.19e-02
[classifier.1] Epoch 70/100, Loss=0.286698, LR=2.06e-02
[classifier.1] Epoch 71/100, Loss=0.286689, LR=1.94e-02
[classifier.1] Epoch 72/100, Loss=0.286695, LR=1.81e-02
[classifier.1] Epoch 73/100, Loss=0.286694, LR=1.69e-02
[classifier.1] Epoch 74/100, Loss=0.286687, LR=1.58e-02
[classifier.1] Epoch 75/100, Loss=0.286682, LR=1.47e-02
[classifier.1] Epoch 76/100, Loss=0.286680, LR=1.36e-02
[classifier.1] Epoch 77/100, Loss=0.286692, LR=1.25e-02
[classifier.1] Epoch 78/100, Loss=0.286683, LR=1.15e-02
[classifier.1] Epoch 79/100, Loss=0.286687, LR=1.05e-02
[classifier.1] Epoch 80/100, Loss=0.286685, LR=9.56e-03
[classifier.1] Epoch 81/100, Loss=0.286688, LR=8.66e-03
[classifier.1] Epoch 82/100, Loss=0.286682, LR=7.79e-03
[classifier.1] Epoch 83/100, Loss=0.286688, LR=6.97e-03
[classifier.1] Epoch 84/100, Loss=0.286684, LR=6.19e-03
[classifier.1] Epoch 85/100, Loss=0.286684, LR=5.46e-03
[classifier.1] Epoch 86/100, Loss=0.286680, LR=4.77e-03
[classifier.1] Epoch 87/100, Loss=0.286682, LR=4.12e-03
[classifier.1] Epoch 88/100, Loss=0.286679, LR=3.52e-03
[classifier.1] Epoch 89/100, Loss=0.286678, LR=2.97e-03
[classifier.1] Epoch 90/100, Loss=0.286680, LR=2.46e-03
[classifier.1] Epoch 91/100, Loss=0.286682, LR=2.00e-03
[classifier.1] Epoch 92/100, Loss=0.286689, LR=1.58e-03
[classifier.1] Epoch 93/100, Loss=0.286681, LR=1.21e-03
[classifier.1] Epoch 94/100, Loss=0.286680, LR=8.96e-04
[classifier.1] Epoch 95/100, Loss=0.286676, LR=6.26e-04
[classifier.1] Epoch 96/100, Loss=0.286676, LR=4.04e-04
[classifier.1] Epoch 97/100, Loss=0.286679, LR=2.32e-04
[classifier.1] Epoch 98/100, Loss=0.286676, LR=1.09e-04
[classifier.1] Epoch 99/100, Loss=0.286681, LR=3.47e-05
[classifier.1] Epoch 100/100, Loss=0.286683, LR=1.00e-05
Saved repair head state dict to learning_heads/repair_20251123-193029.pt
